J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
28.548	26.827	24.875	3.025	28.835	26.827	25.826	3.074
28.563	26.877	24.925	3.027	28.850	26.877	25.876	3.076
28.578	26.927	24.975	3.029	28.865	26.927	25.926	3.078
28.593	26.977	25.025	3.031	28.880	26.977	25.976	3.080
28.608	27.027	25.075	3.033	28.895	27.027	26.026	3.082
28.623	27.077	25.125	3.035	28.909	27.077	26.076	3.084
28.638	27.127	25.175	3.037	28.924	27.127	26.126	3.086
28.653	27.177	25.225	3.039	28.939	27.177	26.176	3.088
28.668	27.227	25.275	3.041	28.954	27.227	26.226	3.090
28.683	27.277	25.325	3.043	28.969	27.277	26.276	3.092
28.698	27.327	25.375	3.045	28.983	27.327	26.326	3.094
28.713	27.377	25.425	3.047	28.998	27.377	26.376	3.096
28.728	27.427	25.475	3.049	29.013	27.427	26.426	3.098
28.743	27.477	25.526	3.051	29.028	27.477	26.476	3.100
28.758	27.528	25.576	3.053	29.042	27.528	26.527	3.102
28.772	27.578	25.626	3.055	29.057	27.578	26.577	3.104
28.787	27.628	25.676	3.057	29.072	27.628	26.627	3.106
28.802	27.678	25.726	3.059	29.087	27.678	26.677	3.108
28.817	27.728	25.776	3.061	29.101	27.728	26.727	3.110
28.832	27.778	25.826	3.063	29.116	27.778	26.777	3.112
28.847	27.828	25.876	3.065	29.131	27.828	26.827	3.114
28.862	27.878	25.926	3.067	29.145	27.878	26.877	3.116
28.877	27.928	25.976	3.069	29.160	27.928	26.927	3.118
28.891	27.978	26.026	3.071	29.175	27.978	26.977	3.120
28.906	28.028	26.076	3.073	29.190	28.028	26.977	3.172
28.921	28.078	26.126	3.075	29.204	28.078	27.027	3.174
28.936	28.128	26.176	3.077	29.219	28.128	27.077	3.176
28.951	28.178	26.226	3.079	29.234	28.178	27.127	3.178
28.965	28.228	26.276	3.081	29.248	28.228	27.177	3.180
28.980	28.278	26.326	3.083	29.263	28.278	27.227	3.182
28.995	28.328	26.376	3.085	29.277	28.328	27.277	3.184
29.010	28.378	26.426	3.087	29.292	28.378	27.327	3.186
29.025	28.428	26.476	3.089	29.307	28.428	27.377	3.188
29.039	28.478	26.527	3.091	29.321	28.478	27.427	3.190
29.054	28.529	26.577	3.093	29.336	28.529	27.477	3.192
29.069	28.579	26.627	3.095	29.350	28.579	27.528	3.194
29.084	28.629	26.677	3.097	29.365	28.629	27.578	3.196
29.098	28.679	26.677	3.149	29.380	28.679	27.628	3.198
29.113	28.729	26.727	3.151	29.394	28.729	27.678	3.200
29.128	28.779	26.777	3.153	29.409	28.779	27.728	3.202
29.142	28.829	26.827	3.155	29.423	28.829	27.778	3.204
29.157	28.879	26.877	3.157	29.438	28.879	27.828	3.206
29.172	28.929	26.927	3.159	29.452	28.929	27.878	3.208
29.186	28.979	26.977	3.161	29.467	28.979	27.928	3.210
29.201	29.029	27.027	3.163	29.481	29.029	27.978	3.212
29.216	29.079	27.077	3.165	29.496	29.079	28.028	3.214
29.230	29.129	27.127	3.167	29.510	29.129	28.078	3.216
