J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
17.796	0.000	0.000	0.000	18.837	0.000	0.250	0.750
18.024	0.050	0.000	0.052	18.867	0.050	0.300	0.752
18.119	0.100	0.000	0.104	18.897	0.100	0.350	0.754
18.191	0.150	0.000	0.156	18.926	0.150	0.350	0.806
18.252	0.200	0.000	0.208	18.956	0.200	0.400	0.808
18.306	0.250	0.000	0.260	18.985	0.250	0.450	0.810
18.356	0.300	0.050	0.262	19.013	0.300	0.450	0.862
18.404	0.350	0.050	0.314	19.041	0.350	0.501	0.864
18.449	0.400	0.050	0.366	19.069	0.400	0.551	0.866
18.490	0.450	0.050	0.418	19.097	0.450	0.601	0.868
18.530	0.501	0.050	0.470	19.125	0.501	0.601	0.920
18.566	0.551	0.050	0.523	19.152	0.551	0.651	0.922
18.602	0.601	0.100	0.525	19.179	0.601	0.701	0.924
18.638	0.651	0.100	0.577	19.206	0.651	0.751	0.926
18.671	0.701	0.100	0.629	19.233	0.701	0.801	0.928
18.704	0.751	0.150	0.631	19.260	0.751	0.851	0.930
18.737	0.801	0.200	0.633	19.287	0.801	0.851	0.982
18.769	0.851	0.200	0.685	19.313	0.851	0.901	0.984
18.800	0.901	0.250	0.687	19.339	0.901	0.951	0.986
18.830	0.951	0.250	0.739	19.365	0.951	1.001	0.988
18.861	1.001	0.300	0.741	19.391	1.001	1.051	0.990
18.891	1.051	0.350	0.743	19.417	1.051	1.101	0.992
18.920	1.101	0.350	0.795	19.443	1.101	1.151	0.994
18.950	1.151	0.400	0.797	19.469	1.151	1.151	1.046
18.978	1.201	0.450	0.799	19.494	1.201	1.201	1.048
19.007	1.251	0.450	0.851	19.520	1.251	1.251	1.050
19.035	1.301	0.501	0.853	19.545	1.301	1.301	1.052
19.064	1.351	0.551	0.855	19.570	1.351	1.351	1.054
19.091	1.401	0.601	0.857	19.595	1.401	1.351	1.106
19.119	1.451	0.601	0.909	19.620	1.451	1.401	1.108
19.146	1.502	0.651	0.911	19.645	1.502	1.451	1.110
19.174	1.552	0.701	0.913	19.670	1.552	1.502	1.112
19.201	1.602	0.751	0.915	19.695	1.602	1.552	1.114
19.228	1.652	0.801	0.917	19.720	1.652	1.602	1.116
19.254	1.702	0.801	0.969	19.744	1.702	1.652	1.118
19.281	1.752	0.851	0.971	19.769	1.752	1.702	1.120
19.307	1.802	0.901	0.973	19.794	1.802	1.752	1.122
19.334	1.852	0.951	0.975	19.818	1.852	1.802	1.124
19.360	1.902	1.001	0.977	19.842	1.902	1.852	1.126
19.386	1.952	1.051	0.979	19.866	1.952	1.852	1.178
19.412	2.002	1.051	1.031	19.891	2.002	1.902	1.180
19.438	2.052	1.101	1.033	19.915	2.052	1.952	1.182
19.463	2.102	1.151	1.035	19.939	2.102	2.002	1.184
19.489	2.152	1.201	1.037	19.963	2.152	2.052	1.186
19.515	2.202	1.251	1.039	19.987	2.202	2.102	1.188
19.540	2.252	1.301	1.041	20.011	2.252	2.152	1.190
19.565	2.302	1.301	1.093	20.034	2.302	2.202	1.192
19.590	2.352	1.351	1.095	20.058	2.352	2.252	1.194
19.615	2.402	1.401	1.097	20.082	2.402	2.302	1.196
19.640	2.452	1.451	1.099	20.105	2.452	2.352	1.198
19.665	2.503	1.502	1.101	20.129	2.503	2.352	1.250
19.690	2.553	1.552	1.103	20.152	2.553	2.402	1.252
19.715	2.603	1.602	1.105	20.176	2.603	2.452	1.254
19.739	2.653	1.652	1.107	20.199	2.653	2.503	1.256
19.764	2.703	1.702	1.109	20.223	2.703	2.553	1.258
19.788	2.753	1.752	1.111	20.246	2.753	2.603	1.260
19.813	2.803	1.752	1.163	20.269	2.803	2.653	1.262
19.837	2.853	1.802	1.165	20.292	2.853	2.703	1.264
19.861	2.903	1.852	1.167	20.315	2.903	2.753	1.266
19.886	2.953	1.902	1.169	20.338	2.953	2.803	1.268
19.910	3.003	1.952	1.171	20.361	3.003	2.853	1.270
19.934	3.053	2.002	1.173	20.384	3.053	2.903	1.272
19.958	3.103	2.052	1.175	20.407	3.103	2.953	1.274
19.982	3.153	2.102	1.177	20.430	3.153	3.003	1.276
20.006	3.203	2.152	1.179	20.453	3.203	3.003	1.328
20.029	3.253	2.202	1.181	20.476	3.253	3.053	1.330
20.053	3.303	2.252	1.183	20.499	3.303	3.103	1.332
20.077	3.353	2.252	1.235	20.521	3.353	3.153	1.334
20.100	3.403	2.302	1.237	20.544	3.403	3.203	1.336
20.124	3.453	2.352	1.239	20.566	3.453	3.253	1.338
20.148	3.504	2.402	1.241	20.589	3.504	3.303	1.340
20.171	3.554	2.452	1.243	20.612	3.554	3.353	1.342
20.194	3.604	2.503	1.245	20.634	3.604	3.403	1.344
20.218	3.654	2.553	1.247	20.656	3.654	3.453	1.346
20.241	3.704	2.603	1.249	20.679	3.704	3.504	1.348
20.264	3.754	2.653	1.251	20.701	3.754	3.554	1.350
20.287	3.804	2.703	1.253	20.723	3.804	3.604	1.352
20.311	3.854	2.753	1.255	20.746	3.854	3.654	1.354
20.334	3.904	2.803	1.257	20.768	3.904	3.704	1.356
20.357	3.954	2.853	1.259	20.790	3.954	3.754	1.358
20.380	4.004	2.903	1.261	20.812	4.004	3.754	1.410
20.403	4.054	2.903	1.313	20.834	4.054	3.804	1.412
20.425	4.104	2.953	1.315	20.856	4.104	3.854	1.414
20.448	4.154	3.003	1.317	20.878	4.154	3.904	1.416
20.471	4.204	3.053	1.319	20.900	4.204	3.954	1.418
20.494	4.254	3.103	1.321	20.922	4.254	4.004	1.420
20.516	4.304	3.153	1.323	20.944	4.304	4.054	1.422
20.539	4.354	3.203	1.325	20.966	4.354	4.104	1.424
20.562	4.404	3.253	1.327	20.988	4.404	4.154	1.426
20.584	4.454	3.303	1.329	21.010	4.454	4.204	1.428
20.607	4.505	3.353	1.331	21.031	4.505	4.254	1.430
20.629	4.555	3.403	1.333	21.053	4.555	4.304	1.432
20.652	4.605	3.453	1.335	21.075	4.605	4.354	1.434
20.674	4.655	3.504	1.337	21.097	4.655	4.404	1.436
20.696	4.705	3.554	1.339	21.118	4.705	4.454	1.438
20.719	4.755	3.604	1.341	21.140	4.755	4.505	1.440
20.741	4.805	3.654	1.343	21.161	4.805	4.555	1.442
20.763	4.855	3.654	1.395	21.183	4.855	4.605	1.444
20.785	4.905	3.704	1.397	21.204	4.905	4.655	1.446
20.808	4.955	3.754	1.399	21.226	4.955	4.655	1.498
20.830	5.005	3.804	1.401	21.247	5.005	4.705	1.501
20.852	5.055	3.854	1.403	21.269	5.055	4.755	1.503
20.874	5.105	3.904	1.405	21.290	5.105	4.805	1.505
20.896	5.155	3.954	1.407	21.311	5.155	4.855	1.507
20.918	5.205	4.004	1.409	21.332	5.205	4.905	1.509
20.940	5.255	4.054	1.411	21.354	5.255	4.955	1.511
20.961	5.305	4.104	1.413	21.375	5.305	5.005	1.513
20.983	5.355	4.154	1.415	21.396	5.355	5.055	1.515
21.005	5.405	4.204	1.417	21.417	5.405	5.105	1.517
21.027	5.455	4.254	1.419	21.438	5.455	5.155	1.519
21.049	5.506	4.304	1.421	21.460	5.506	5.205	1.521
21.070	5.556	4.354	1.423	21.481	5.556	5.255	1.523
21.092	5.606	4.404	1.425	21.502	5.606	5.305	1.525
21.114	5.656	4.454	1.427	21.523	5.656	5.355	1.527
21.135	5.706	4.454	1.479	21.544	5.706	5.405	1.529
21.157	5.756	4.505	1.481	21.565	5.756	5.455	1.531
21.178	5.806	4.555	1.483	21.585	5.806	5.506	1.533
21.200	5.856	4.605	1.485	21.606	5.856	5.556	1.535
21.221	5.906	4.655	1.487	21.627	5.906	5.606	1.537
21.243	5.956	4.705	1.489	21.648	5.956	5.606	1.589
21.264	6.006	4.755	1.491	21.669	6.006	5.656	1.591
21.285	6.056	4.805	1.493	21.690	6.056	5.706	1.593
21.307	6.106	4.855	1.495	21.710	6.106	5.756	1.595
21.328	6.156	4.905	1.497	21.731	6.156	5.806	1.597
21.349	6.206	4.955	1.499	21.752	6.206	5.856	1.599
21.370	6.256	5.005	1.502	21.772	6.256	5.906	1.601
21.392	6.306	5.055	1.504	21.793	6.306	5.956	1.603
21.413	6.356	5.105	1.506	21.814	6.356	6.006	1.605
21.434	6.406	5.155	1.508	21.834	6.406	6.056	1.607
21.455	6.456	5.205	1.510	21.855	6.456	6.106	1.609
21.476	6.507	5.255	1.512	21.875	6.507	6.156	1.611
21.497	6.557	5.305	1.514	21.896	6.557	6.206	1.613
21.518	6.607	5.355	1.516	21.916	6.607	6.256	1.615
21.539	6.657	5.405	1.518	21.937	6.657	6.306	1.617
21.560	6.707	5.405	1.570	21.957	6.707	6.356	1.619
21.581	6.757	5.455	1.572	21.978	6.757	6.406	1.621
21.602	6.807	5.506	1.574	21.998	6.807	6.456	1.623
21.623	6.857	5.556	1.576	22.018	6.857	6.507	1.625
21.644	6.907	5.606	1.578	22.039	6.907	6.557	1.627
21.664	6.957	5.656	1.580	22.059	6.957	6.607	1.629
21.685	7.007	5.706	1.582	22.079	7.007	6.657	1.631
21.706	7.057	5.756	1.584	22.099	7.057	6.707	1.633
21.727	7.107	5.806	1.586	22.120	7.107	6.757	1.635
21.747	7.157	5.856	1.588	22.140	7.157	6.757	1.687
21.768	7.207	5.906	1.590	22.160	7.207	6.807	1.689
21.789	7.257	5.956	1.592	22.180	7.257	6.857	1.691
21.809	7.307	6.006	1.594	22.200	7.307	6.907	1.693
21.830	7.357	6.056	1.596	22.220	7.357	6.957	1.695
21.850	7.407	6.106	1.598	22.240	7.407	7.007	1.697
21.871	7.457	6.156	1.600	22.260	7.457	7.057	1.699
21.891	7.508	6.206	1.602	22.280	7.508	7.107	1.701
21.912	7.558	6.256	1.604	22.300	7.558	7.157	1.703
21.932	7.608	6.306	1.606	22.320	7.608	7.207	1.705
21.953	7.658	6.356	1.608	22.340	7.658	7.257	1.707
21.973	7.708	6.406	1.610	22.360	7.708	7.307	1.709
21.994	7.758	6.456	1.612	22.380	7.758	7.357	1.711
22.014	7.808	6.456	1.664	22.400	7.808	7.407	1.713
22.034	7.858	6.507	1.666	22.420	7.858	7.457	1.715
22.055	7.908	6.557	1.668	22.440	7.908	7.508	1.717
22.075	7.958	6.607	1.670	22.459	7.958	7.558	1.719
22.095	8.008	6.657	1.672	22.479	8.008	7.608	1.721
22.115	8.058	6.707	1.674	22.499	8.058	7.658	1.723
22.135	8.108	6.757	1.676	22.519	8.108	7.708	1.725
22.156	8.158	6.807	1.678	22.538	8.158	7.758	1.727
22.176	8.208	6.857	1.680	22.558	8.208	7.808	1.729
22.196	8.258	6.907	1.682	22.578	8.258	7.858	1.731
22.216	8.308	6.957	1.684	22.597	8.308	7.908	1.733
22.236	8.358	7.007	1.686	22.617	8.358	7.908	1.785
22.256	8.408	7.057	1.688	22.637	8.408	7.958	1.787
22.276	8.458	7.107	1.690	22.656	8.458	8.008	1.789
22.296	8.509	7.157	1.692	22.676	8.509	8.058	1.791
22.316	8.559	7.207	1.694	22.695	8.559	8.108	1.793
22.336	8.609	7.257	1.696	22.715	8.609	8.158	1.795
22.356	8.659	7.307	1.698	22.734	8.659	8.208	1.797
22.376	8.709	7.357	1.700	22.754	8.709	8.258	1.799
22.396	8.759	7.407	1.702	22.773	8.759	8.308	1.801
22.416	8.809	7.457	1.704	22.793	8.809	8.358	1.803
22.435	8.859	7.508	1.706	22.812	8.859	8.408	1.805
22.455	8.909	7.558	1.708	22.831	8.909	8.458	1.807
22.475	8.959	7.608	1.710	22.851	8.959	8.509	1.809
22.495	9.009	7.658	1.712	22.870	9.009	8.559	1.811
22.515	9.059	7.658	1.764	22.890	9.059	8.609	1.813
22.534	9.109	7.708	1.766	22.909	9.109	8.659	1.815
22.554	9.159	7.758	1.768	22.928	9.159	8.709	1.817
22.574	9.209	7.808	1.770	22.947	9.209	8.759	1.819
22.593	9.259	7.858	1.772	22.967	9.259	8.809	1.821
22.613	9.309	7.908	1.774	22.986	9.309	8.859	1.823
22.633	9.359	7.958	1.776	23.005	9.359	8.909	1.825
22.652	9.409	8.008	1.778	23.024	9.409	8.959	1.827
22.672	9.459	8.058	1.780	23.043	9.459	9.009	1.829
22.691	9.510	8.108	1.782	23.062	9.510	9.059	1.831
22.711	9.560	8.158	1.784	23.082	9.560	9.109	1.833
22.730	9.610	8.208	1.786	23.101	9.610	9.159	1.835
22.750	9.660	8.258	1.788	23.120	9.660	9.159	1.887
22.769	9.710	8.308	1.790	23.139	9.710	9.209	1.889
22.789	9.760	8.358	1.792	23.158	9.760	9.259	1.891
22.808	9.810	8.408	1.794	23.177	9.810	9.309	1.893
22.827	9.860	8.458	1.796	23.196	9.860	9.359	1.895
22.847	9.910	8.509	1.798	23.215	9.910	9.409	1.897
22.866	9.960	8.559	1.800	23.234	9.960	9.459	1.899
22.885	10.010	8.609	1.802	23.253	10.010	9.510	1.901
22.905	10.060	8.659	1.804	23.272	10.060	9.560	1.903
22.924	10.110	8.709	1.806	23.291	10.110	9.610	1.905
22.943	10.160	8.759	1.808	23.310	10.160	9.660	1.907
22.963	10.210	8.809	1.810	23.328	10.210	9.710	1.909
22.982	10.260	8.859	1.812	23.347	10.260	9.760	1.911
23.001	10.310	8.909	1.814	23.366	10.310	9.810	1.913
23.020	10.360	8.909	1.866	23.385	10.360	9.860	1.915
23.039	10.410	8.959	1.868	23.404	10.410	9.910	1.917
23.058	10.460	9.009	1.870	23.423	10.460	9.960	1.919
23.078	10.511	9.059	1.872	23.441	10.511	10.010	1.921
23.097	10.561	9.109	1.874	23.460	10.561	10.060	1.923
23.116	10.611	9.159	1.876	23.479	10.611	10.110	1.925
23.135	10.661	9.209	1.878	23.497	10.661	10.160	1.927
23.154	10.711	9.259	1.880	23.516	10.711	10.210	1.929
23.173	10.761	9.309	1.882	23.535	10.761	10.260	1.931
23.192	10.811	9.359	1.884	23.553	10.811	10.310	1.933
23.211	10.861	9.409	1.886	23.572	10.861	10.360	1.935
23.230	10.911	9.459	1.888	23.591	10.911	10.410	1.937
23.249	10.961	9.510	1.890	23.609	10.961	10.460	1.939
23.268	11.011	9.560	1.892	23.628	11.011	10.511	1.941
23.287	11.061	9.610	1.894	23.646	11.061	10.511	1.993
23.306	11.111	9.660	1.896	23.665	11.111	10.561	1.995
23.324	11.161	9.710	1.898	23.683	11.161	10.611	1.997
23.343	11.211	9.760	1.900	23.702	11.211	10.661	1.999
23.362	11.261	9.810	1.902	23.720	11.261	10.711	2.001
23.381	11.311	9.860	1.904	23.739	11.311	10.761	2.003
23.400	11.361	9.910	1.906	23.757	11.361	10.811	2.005
23.419	11.411	9.960	1.908	23.776	11.411	10.861	2.007
23.437	11.461	10.010	1.910	23.794	11.461	10.911	2.009
23.456	11.512	10.060	1.912	23.813	11.512	10.961	2.011
23.475	11.562	10.110	1.914	23.831	11.562	11.011	2.013
23.493	11.612	10.160	1.916	23.849	11.612	11.061	2.015
23.512	11.662	10.210	1.918	23.868	11.662	11.111	2.017
23.531	11.712	10.260	1.920	23.886	11.712	11.161	2.019
23.549	11.762	10.260	1.972	23.904	11.762	11.211	2.021
23.568	11.812	10.310	1.974	23.923	11.812	11.261	2.023
23.587	11.862	10.360	1.976	23.941	11.862	11.311	2.025
23.605	11.912	10.410	1.978	23.959	11.912	11.361	2.027
23.624	11.962	10.460	1.980	23.978	11.962	11.411	2.029
23.642	12.012	10.511	1.982	23.996	12.012	11.461	2.031
23.661	12.062	10.561	1.984	24.014	12.062	11.512	2.033
23.680	12.112	10.611	1.986	24.032	12.112	11.562	2.035
23.698	12.162	10.661	1.988	24.050	12.162	11.612	2.037
23.717	12.212	10.711	1.990	24.069	12.212	11.662	2.039
23.735	12.262	10.761	1.992	24.087	12.262	11.712	2.041
23.753	12.312	10.811	1.994	24.105	12.312	11.762	2.043
23.772	12.362	10.861	1.996	24.123	12.362	11.812	2.045
23.790	12.412	10.911	1.998	24.141	12.412	11.862	2.047
23.809	12.462	10.961	2.000	24.159	12.462	11.912	2.049
23.827	12.513	11.011	2.002	24.177	12.513	11.962	2.051
23.846	12.563	11.061	2.004	24.195	12.563	11.962	2.103
23.864	12.613	11.111	2.006	24.213	12.613	12.012	2.105
23.882	12.663	11.161	2.008	24.231	12.663	12.062	2.107
23.901	12.713	11.211	2.010	24.249	12.713	12.112	2.109
23.919	12.763	11.261	2.012	24.267	12.763	12.162	2.111
23.937	12.813	11.311	2.014	24.285	12.813	12.212	2.113
23.955	12.863	11.361	2.016	24.303	12.863	12.262	2.115
23.974	12.913	11.411	2.018	24.321	12.913	12.312	2.117
23.992	12.963	11.461	2.020	24.339	12.963	12.362	2.119
24.010	13.013	11.512	2.022	24.357	13.013	12.412	2.121
24.028	13.063	11.562	2.024	24.375	13.063	12.462	2.123
24.046	13.113	11.612	2.026	24.393	13.113	12.513	2.125
24.065	13.163	11.662	2.028	24.411	13.163	12.563	2.127
24.083	13.213	11.662	2.080	24.429	13.213	12.613	2.129
24.101	13.263	11.712	2.082	24.446	13.263	12.663	2.131
24.119	13.313	11.762	2.084	24.464	13.313	12.713	2.133
24.137	13.363	11.812	2.086	24.482	13.363	12.763	2.135
24.155	13.413	11.862	2.088	24.500	13.413	12.813	2.137
24.173	13.463	11.912	2.090	24.518	13.463	12.863	2.139
24.191	13.514	11.962	2.092	24.535	13.514	12.913	2.141
24.210	13.564	12.012	2.094	24.553	13.564	12.963	2.143
24.228	13.614	12.062	2.096	24.571	13.614	13.013	2.145
24.246	13.664	12.112	2.098	24.589	13.664	13.063	2.147
24.264	13.714	12.162	2.100	24.606	13.714	13.113	2.149
24.282	13.764	12.212	2.102	24.624	13.764	13.163	2.151
24.299	13.814	12.262	2.104	24.642	13.814	13.213	2.153
24.317	13.864	12.312	2.106	24.659	13.864	13.263	2.155
24.335	13.914	12.362	2.108	24.677	13.914	13.313	2.157
24.353	13.964	12.412	2.110	24.695	13.964	13.363	2.159
24.371	14.014	12.462	2.112	24.712	14.014	13.413	2.161
24.389	14.064	12.513	2.114	24.730	14.064	13.463	2.163
24.407	14.114	12.563	2.116	24.747	14.114	13.463	2.215
24.425	14.164	12.613	2.118	24.765	14.164	13.514	2.217
24.443	14.214	12.663	2.120	24.783	14.214	13.564	2.219
24.460	14.264	12.713	2.122	24.800	14.264	13.614	2.221
24.478	14.314	12.763	2.124	24.818	14.314	13.664	2.223
24.496	14.364	12.813	2.126	24.835	14.364	13.714	2.225
24.514	14.414	12.863	2.128	24.853	14.414	13.764	2.227
24.532	14.464	12.913	2.130	24.870	14.464	13.814	2.229
24.549	14.515	12.963	2.132	24.888	14.515	13.864	2.231
24.567	14.565	13.013	2.134	24.905	14.565	13.914	2.233
24.585	14.615	13.063	2.136	24.923	14.615	13.964	2.235
24.603	14.665	13.113	2.138	24.940	14.665	14.014	2.237
24.620	14.715	13.113	2.190	24.957	14.715	14.064	2.239
24.638	14.765	13.163	2.192	24.975	14.765	14.114	2.241
24.656	14.815	13.213	2.194	24.992	14.815	14.164	2.243
24.673	14.865	13.263	2.196	25.010	14.865	14.214	2.245
24.691	14.915	13.313	2.198	25.027	14.915	14.264	2.247
24.709	14.965	13.363	2.200	25.044	14.965	14.314	2.249
24.726	15.015	13.413	2.202	25.062	15.015	14.364	2.251
24.744	15.065	13.463	2.204	25.079	15.065	14.414	2.253
24.761	15.115	13.514	2.206	25.096	15.115	14.464	2.255
24.779	15.165	13.564	2.208	25.114	15.165	14.515	2.257
24.796	15.215	13.614	2.210	25.131	15.215	14.565	2.259
24.814	15.265	13.664	2.212	25.148	15.265	14.615	2.261
24.831	15.315	13.714	2.214	25.165	15.315	14.665	2.263
24.849	15.365	13.764	2.216	25.183	15.365	14.715	2.265
24.866	15.415	13.814	2.218	25.200	15.415	14.765	2.267
24.884	15.465	13.864	2.220	25.217	15.465	14.815	2.269
24.901	15.516	13.914	2.222	25.234	15.516	14.865	2.271
24.919	15.566	13.964	2.224	25.251	15.566	14.915	2.273
24.936	15.616	14.014	2.226	25.269	15.616	14.965	2.275
24.954	15.666	14.064	2.228	25.286	15.666	15.015	2.277
24.971	15.716	14.114	2.230	25.303	15.716	15.015	2.329
24.988	15.766	14.164	2.232	25.320	15.766	15.065	2.331
25.006	15.816	14.214	2.234	25.337	15.816	15.115	2.333
25.023	15.866	14.264	2.236	25.354	15.866	15.165	2.335
25.041	15.916	14.314	2.238	25.371	15.916	15.215	2.337
25.058	15.966	14.364	2.240	25.388	15.966	15.265	2.339
25.075	16.016	14.414	2.242	25.405	16.016	15.315	2.341
25.093	16.066	14.464	2.244	25.423	16.066	15.365	2.343
25.110	16.116	14.515	2.246	25.440	16.116	15.415	2.345
25.127	16.166	14.565	2.248	25.457	16.166	15.465	2.347
25.144	16.216	14.615	2.250	25.474	16.216	15.516	2.349
25.162	16.266	14.665	2.252	25.491	16.266	15.566	2.351
25.179	16.316	14.665	2.304	25.508	16.316	15.616	2.353
25.196	16.366	14.715	2.306	25.525	16.366	15.666	2.355
25.213	16.416	14.765	2.308	25.542	16.416	15.716	2.357
25.231	16.466	14.815	2.310	25.559	16.466	15.766	2.359
25.248	16.517	14.865	2.312	25.575	16.517	15.816	2.361
25.265	16.567	14.915	2.314	25.592	16.567	15.866	2.363
25.282	16.617	14.965	2.316	25.609	16.617	15.916	2.365
25.299	16.667	15.015	2.318	25.626	16.667	15.966	2.367
25.316	16.717	15.065	2.320	25.643	16.717	16.016	2.369
25.334	16.767	15.115	2.322	25.660	16.767	16.066	2.371
25.351	16.817	15.165	2.324	25.677	16.817	16.116	2.373
25.368	16.867	15.215	2.326	25.694	16.867	16.166	2.375
25.385	16.917	15.265	2.328	25.711	16.917	16.216	2.377
25.402	16.967	15.315	2.330	25.727	16.967	16.266	2.379
25.419	17.017	15.365	2.332	25.744	17.017	16.316	2.381
